Pendel 1 in Ruhe
Pendel 2 ausgelenkt
18.433 7.070 2.163
18.458 7.595 2.065
18.483 7.805 2.114
18.508 8.050 2.065
18.533 8.085 2.114
18.558 8.190 2.065
18.583 7.875 2.138
18.608 7.700 2.114
18.633 7.280 2.211
18.658 6.930 2.236
18.683 6.405 2.381
18.708 5.740 2.454
18.733 5.040 2.551
18.758 4.305 2.649
18.783 3.395 2.746
18.808 2.520 2.819
18.833 1.645 2.916
18.858 0.700 2.989
18.883 -0.315 3.110
18.908 -1.330 3.135
18.933 -2.380 3.208
18.958 -3.220 3.208
18.983 -4.165 3.232
19.008 -5.075 3.232
19.033 -5.915 3.256
19.058 -6.580 3.135
19.083 -7.350 3.062
19.108 -8.015 2.989
19.133 -8.575 2.867
19.158 -9.030 2.624
19.183 -9.450 2.430
19.208 -9.765 2.211
19.233 -9.975 1.993
19.258 -9.975 1.750
19.283 -10.045 1.458
19.308 -9.940 1.093
19.333 -9.800 0.826
19.358 -9.485 0.437
19.383 -9.135 0.121
19.408 -8.610 -0.292
19.433 -8.225 -0.559
19.458 -7.630 -0.826
19.483 -7.035 -1.069
19.508 -6.160 -1.385
19.533 -5.425 -1.628
19.558 -4.690 -1.823
19.583 -3.745 -2.017
19.608 -2.835 -2.187
19.633 -2.030 -2.260
19.658 -1.155 -2.308
19.683 -0.245 -2.236
19.708 0.595 -2.236
19.733 1.435 -2.114
19.758 2.275 -1.968
19.783 3.010 -1.774
19.808 3.640 -1.531
19.833 4.270 -1.239
19.858 4.935 -0.923
19.883 5.460 -0.486
19.908 5.950 -0.097
19.933 6.230 0.364
19.958 6.475 0.753
19.983 6.615 1.264
20.008 6.685 1.847
20.033 6.685 2.333
20.058 6.440 2.867
20.083 6.300 3.378
20.108 6.020 3.888
20.133 5.530 4.495
20.158 5.075 4.981
20.183 4.550 5.419
20.208 3.920 5.881
20.233 3.325 6.342
20.258 2.590 6.731
20.283 1.890 7.071
20.308 1.260 7.339
20.333 0.420 7.557
20.358 -0.455 7.654
20.383 -1.155 7.727
20.408 -1.925 7.800
20.433 -2.730 7.752
20.458 -3.395 7.582
20.483 -4.165 7.484
20.508 -4.725 7.193
20.533 -5.320 6.877
20.558 -5.880 6.488
20.583 -6.335 6.026
20.608 -6.685 5.516
20.633 -7.105 4.909
20.658 -7.385 4.325
20.683 -7.560 3.669
20.708 -7.630 2.989
20.733 -7.665 2.236
20.758 -7.595 1.482
20.783 -7.525 0.705
20.808 -7.420 -0.073
20.833 -7.105 -0.802
20.858 -6.860 -1.531
20.883 -6.580 -2.260
20.908 -6.195 -2.916
20.933 -5.775 -3.523
20.958 -5.285 -4.155
